reaction_id,compound_retention_time,compound_max_intensity,caffeine_retention_time,caffeine_max_intensity
R0075876,1.2396,8296.0,0.7733,129714
R0075838,1.4596,18091.0,0.7717,139283
R0075854,1.4679,1212102.0,0.7792,138807
R0075900,0.6958,3240.0,0.7771,136963
R0075843,1.1767,26469.0,0.7712,149207
R0075885,0.7208,1932.0,0.7746,134899
R0075857,1.4888,22317.0,0.7788,147067
R0075775,,,0.7767,119548
R0075797,0.9846,112858.0,0.7788,123674
R0075919,0.6508,2476.0,0.7788,133057
R0075870,1.6042,53939.0,0.7762,132725
R0075881,1.5562,1766.0,0.7717,146902
